TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
,,,,,,,,,,54.66821274,539.4299629,137.898423,40.75030921,9.208410637,129.5524119,13.98407545,28.80318491,5.895021645,0.67965368,0.617501546,64.07606679,288.2892703,14.04823748,15.18027211,9.679189858,8.355596784,#DIV/0!,65.83194187,13.05225727
,,,,,,,,,,64.80828446,539.5968141,159.8149077,125.0939725,71.15890084,405.1958414,263.6997085,66.04005672,68.57733813,38.56140351,95.0952381,67.07298916,302.5563849,83.66850829,103.9005291,126.4747475,46.11262799,#DIV/0!,80.52212557,78.75186567
4891315.827,20,Female,Unemployed - looking,No,Employed,Sunday,0,-1,150,60,1145,0,30,0,0,0,0,0,0,0,30,30,90,0,0,0,,55,0
23147368.36,16,Female,Employed - at work,Yes,,Thursday,0,-1,0,60,540,40,0,0,465,0,0,0,0,0,45,200,0,0,0,0,,90,0
20941823.43,65,Female,Not in labor force,,,Monday,0,-1,0,90,555,300,180,0,0,0,0,0,0,0,60,255,0,0,0,0,,0,0
2505899.417,50,Female,Not in labor force,,,Sunday,0,-1,0,60,780,10,0,0,0,0,0,0,0,0,0,460,0,110,0,0,,20,0
15928231.82,23,Female,Unemployed - looking,No,,Wednesday,0,-1,200,60,645,315,175,0,60,0,0,0,0,0,65,120,0,0,0,0,,0,0
2019096.316,63,Female,Employed - at work,,,Sunday,0,-1,0,70,425,166,0,35,0,0,0,0,0,0,30,582,0,0,0,13,,49,70
4778595.529,66,Female,Employed - at work,,Unemployed,Sunday,0,-1,0,15,495,105,0,210,0,0,40,0,0,0,80,430,0,0,0,0,,65,0
6323639.241,31,Female,Not in labor force,No,,Friday,0,-1,625,0,690,305,120,0,0,0,30,0,0,0,0,265,0,0,0,0,,30,0
6209017.526,41,Female,Employed - at work,No,Employed,Thursday,0,-1,123,60,459,0,125,0,479,0,15,0,0,0,80,120,0,0,0,0,,102,0
2068191.833,85,Female,Not in labor force,,,Sunday,0,-1,0,105,535,380,0,0,0,0,0,0,0,0,105,255,0,0,0,60,,0,0
4731635.02,21,Female,Not in labor force,Yes,,Sunday,0,-1,0,0,720,2,0,0,0,0,0,0,0,0,30,688,0,0,0,0,,0,0
8369759.182,45,Female,Employed - at work,No,Employed,Wednesday,0,-1,662,0,478,122,180,0,646,0,10,0,0,0,0,0,0,0,0,0,,4,0
4376665.609,67,Female,Employed - at work,,Employed,Sunday,0,-1,0,105,590,45,0,0,0,0,90,0,0,0,90,265,0,130,0,60,,65,0
4659170.172,80,Female,Not in labor force,,,Tuesday,0,176,0,30,480,300,0,40,0,0,214,0,0,0,45,280,0,0,0,0,,51,0
10415633.65,61,Female,Not in labor force,,Employed,Wednesday,0,-1,0,90,690,5,0,0,0,0,0,120,0,0,180,315,0,0,0,0,,40,0
9199818.279,26,Female,Employed - at work,No,Employed,Monday,0,120,150,55,420,85,270,0,444,0,0,0,0,0,90,10,0,0,0,0,,66,0
3840512.603,66,Female,Not in labor force,,,Monday,0,-1,0,45,510,475,0,0,0,0,0,0,0,0,65,315,0,0,0,30,,0,0
13458916.01,16,Female,Not in labor force,Yes,,Wednesday,0,-1,0,75,600,5,0,1,0,0,0,0,0,0,130,372,210,0,0,0,,37,10
5276676.909,74,Female,Not in labor force,,,Wednesday,0,-1,0,120,570,0,0,0,0,0,0,0,0,0,20,730,0,0,0,0,,0,0
12692828.6,56,Female,Not in labor force,,,Friday,0,-1,0,40,420,60,30,0,0,0,0,0,0,0,30,660,150,0,0,0,,0,50
7230358.288,28,Female,Employed - at work,No,,Thursday,0,-1,0,90,440,82,0,0,450,0,0,0,0,0,145,120,0,0,0,45,,68,0
4911809.208,55,Female,Employed - at work,,,Thursday,0,-1,0,30,540,15,0,0,240,0,0,30,0,0,60,235,0,0,60,120,,110,0
1653797.701,66,Female,Employed - at work,,,Sunday,0,-1,0,20,460,114,0,0,0,0,0,0,0,0,15,741,0,0,0,90,,0,0
1760787.363,72,Female,Not in labor force,,,Sunday,0,-1,0,30,330,210,0,0,0,0,0,0,0,0,30,840,0,0,0,0,,0,0
6381051.272,47,Female,Employed - at work,No,Employed,Tuesday,0,-1,0,15,585,155,0,0,0,0,0,0,0,0,120,520,0,0,0,45,,0,0
4384446.284,63,Female,Employed - at work,,,Friday,0,-1,0,0,360,0,0,0,820,0,0,0,0,0,120,140,0,0,0,0,,0,0
