TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
,,,,,,,,,,47.42857143,559.1036217,65.4195171,24.90945674,6.698189135,115.5392354,144.0301811,19.34104628,2.3722334,0.412474849,0.749496982,58.52414487,251.1146881,28.55432596,8.59054326,10.4305835,8.782696177,#DIV/0!,73.74849095,14.25050302
,,,,,,,,,,56.66346154,559.1036217,103.7113238,102.3140496,52.84126984,390.6326531,286.332,57.04747774,53.59090909,29.28571429,149,61.82040383,273.9934138,112.6309524,102.8795181,159.5076923,64.19117647,#DIV/0!,83.97021764,92.58169935
23147368.36,16,Female,Employed - at work,Yes,,Thursday,0,-1,0,60,540,40,0,0,465,0,0,0,0,0,45,200,0,0,0,0,,90,0
4731635.02,21,Female,Not in labor force,Yes,,Sunday,0,-1,0,0,720,2,0,0,0,0,0,0,0,0,30,688,0,0,0,0,,0,0
13458916.01,16,Female,Not in labor force,Yes,,Wednesday,0,-1,0,75,600,5,0,1,0,0,0,0,0,0,130,372,210,0,0,0,,37,10
1433662.144,36,Male,Employed - at work,Yes,,Sunday,0,-1,250,30,510,155,45,0,0,0,0,0,0,0,45,435,30,135,0,0,,55,0
9174035.363,18,Female,Employed - at work,Yes,,Sunday,0,-1,0,20,550,0,0,0,345,0,0,0,0,0,45,369,0,0,0,90,,21,0
10005764.17,19,Female,Employed - at work,Yes,,Sunday,0,-1,0,50,615,0,0,0,480,90,0,0,0,0,45,130,0,0,0,0,,30,0
10052049.19,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,0,660,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,,30,0
12285488.01,26,Male,Unemployed - looking,Yes,,Sunday,0,-1,0,60,540,0,0,0,0,270,0,0,0,0,150,120,0,145,0,0,,155,0
28035793.98,18,Female,Not in labor force,Yes,,Thursday,0,-1,0,80,290,0,0,0,0,766,15,0,0,0,80,105,20,0,0,0,,84,0
15122025.8,18,Female,Unemployed - looking,Yes,,Friday,0,-1,0,50,515,15,0,0,60,246,0,0,0,0,106,400,0,0,0,0,,48,0
4358342.911,34,Male,Employed - at work,Yes,Employed,Monday,0,-1,142,25,220,15,280,0,30,610,0,0,0,0,25,182,0,0,0,0,,53,0
15271711.96,16,Female,Not in labor force,Yes,,Thursday,0,150,0,210,380,185,0,0,0,195,0,0,0,0,60,10,0,0,240,60,,100,0
3161205.633,25,Female,Employed - absent,Yes,Employed,Saturday,0,-1,671,80,585,30,50,0,20,0,0,60,0,0,45,286,0,90,0,0,,194,0
18911592.97,15,Male,Not in labor force,Yes,,Wednesday,0,-1,0,12,613,0,0,0,0,425,0,0,0,0,50,320,0,0,0,0,,20,0
9094014.374,28,Male,Employed - at work,Yes,Unemployed,Tuesday,0,-1,30,0,480,0,120,0,540,0,0,0,0,0,120,120,0,0,0,0,,60,0
4212665.675,26,Male,Not in labor force,Yes,,Friday,0,-1,0,30,230,60,0,0,0,585,2,0,0,0,15,460,0,0,0,0,,28,30
3115126.522,28,Female,Employed - at work,Yes,,Saturday,0,-1,580,10,735,150,125,0,0,0,60,0,0,0,110,210,0,0,0,0,,40,0
5805966.974,16,Female,Employed - at work,Yes,,Saturday,0,-1,0,60,595,40,0,15,465,0,26,0,0,0,15,155,0,0,0,0,,69,0
23740850.08,17,Male,Unemployed - looking,Yes,,Tuesday,0,-1,0,0,735,60,0,0,0,90,0,0,0,0,60,495,0,0,0,0,,0,0
15330770.59,18,Female,Not in labor force,Yes,,Thursday,0,-1,0,80,575,0,0,0,180,0,155,30,0,0,45,318,0,0,0,0,,42,15
17830874.34,25,Male,Employed - at work,Yes,Employed,Tuesday,0,-1,0,60,420,15,0,0,480,310,0,0,0,0,30,90,0,0,0,0,,35,0
