TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
,,,,,,,,,,46.66908213,533.5200138,118.4211525,32.40959282,8.646221532,158.4179607,13.83756039,24.60162181,4.883799172,0.800465839,0.559178744,65.85205314,303.2754486,19.21635611,12.70540028,9.239648033,6.373619738,#DIV/0!,68.3015873,12.26923741
,,,,,,,,,,57.82257375,533.9345593,149.1944354,114.9256653,74.40757238,428.8605792,269.135906,60.26669484,69.54914005,42.36986301,95.32352941,69.00714157,318.2950656,100.3405405,104.4546099,135.5772152,46.03302181,#DIV/0!,82.12343118,80.71793417
4891315.827,20,Female,Unemployed - looking,No,Employed,Sunday,0,-1,150,60,1145,0,30,0,0,0,0,0,0,0,30,30,90,0,0,0,,55,0
23147368.36,16,Female,Employed - at work,Yes,,Thursday,0,-1,0,60,540,40,0,0,465,0,0,0,0,0,45,200,0,0,0,0,,90,0
20941823.43,65,Female,Not in labor force,,,Monday,0,-1,0,90,555,300,180,0,0,0,0,0,0,0,60,255,0,0,0,0,,0,0
2505899.417,50,Female,Not in labor force,,,Sunday,0,-1,0,60,780,10,0,0,0,0,0,0,0,0,0,460,0,110,0,0,,20,0
15928231.82,23,Female,Unemployed - looking,No,,Wednesday,0,-1,200,60,645,315,175,0,60,0,0,0,0,0,65,120,0,0,0,0,,0,0
3622350.818,85,Male,Not in labor force,,,Sunday,0,-1,0,0,240,30,0,0,0,0,0,0,0,0,30,1140,0,0,0,0,,0,0
3653337.861,27,Male,Employed - at work,No,Employed,Sunday,0,-1,0,30,585,0,0,0,645,0,10,0,0,0,20,105,0,0,0,0,,45,0
11589604.86,28,Male,Employed - at work,No,Employed,Sunday,0,-1,210,60,450,15,60,0,555,0,0,0,0,0,30,180,30,0,0,0,,60,0
2019096.316,63,Female,Employed - at work,,,Sunday,0,-1,0,70,425,166,0,35,0,0,0,0,0,0,30,582,0,0,0,13,,49,70
5332005.153,85,Male,Not in labor force,,,Thursday,0,-1,0,95,520,61,0,0,0,0,0,0,0,0,117,607,30,0,0,0,,10,0
4778595.529,66,Female,Employed - at work,,Unemployed,Sunday,0,-1,0,15,495,105,0,210,0,0,40,0,0,0,80,430,0,0,0,0,,65,0
7015085.158,54,Male,Not in labor force,,,Sunday,0,-1,0,5,670,15,0,0,0,0,0,0,0,0,35,655,0,0,0,0,,60,0
6323639.241,31,Female,Not in labor force,No,,Friday,0,-1,625,0,690,305,120,0,0,0,30,0,0,0,0,265,0,0,0,0,,30,0
7339555.321,35,Male,Employed - at work,No,Employed,Monday,0,-1,126,65,551,36,63,0,513,0,4,13,0,0,25,47,0,0,0,0,,123,0
19564172.36,80,Male,Not in labor force,,Unemployed,Thursday,0,-1,0,20,510,0,0,0,0,0,0,30,0,0,150,710,0,0,0,0,,20,0
17110667.55,37,Male,Unemployed - on layoff,No,,Wednesday,0,-1,0,6,380,50,0,0,10,0,25,0,0,0,0,540,0,0,0,330,,54,45
6209017.526,41,Female,Employed - at work,No,Employed,Thursday,0,-1,123,60,459,0,125,0,479,0,15,0,0,0,80,120,0,0,0,0,,102,0
2068191.833,85,Female,Not in labor force,,,Sunday,0,-1,0,105,535,380,0,0,0,0,0,0,0,0,105,255,0,0,0,60,,0,0
2182116.985,67,Male,Not in labor force,,,Sunday,0,-1,0,55,440,100,0,0,0,0,30,0,0,0,60,510,60,0,0,75,,110,0
4731635.02,21,Female,Not in labor force,Yes,,Sunday,0,-1,0,0,720,2,0,0,0,0,0,0,0,0,30,688,0,0,0,0,,0,0
8369759.182,45,Female,Employed - at work,No,Employed,Wednesday,0,-1,662,0,478,122,180,0,646,0,10,0,0,0,0,0,0,0,0,0,,4,0
11463166.42,62,Male,Employed - at work,,Employed,Wednesday,0,-1,0,20,405,35,0,0,437,0,20,0,0,0,47,395,0,0,0,0,,81,0
4376665.609,67,Female,Employed - at work,,Employed,Sunday,0,-1,0,105,590,45,0,0,0,0,90,0,0,0,90,265,0,130,0,60,,65,0
4659170.172,80,Female,Not in labor force,,,Tuesday,0,176,0,30,480,300,0,40,0,0,214,0,0,0,45,280,0,0,0,0,,51,0
10415633.65,61,Female,Not in labor force,,Employed,Wednesday,0,-1,0,90,690,5,0,0,0,0,0,120,0,0,180,315,0,0,0,0,,40,0
3624692.127,49,Male,Not in labor force,No,Employed,Sunday,0,-1,0,0,630,10,0,0,0,0,60,0,0,0,30,665,0,0,0,0,,45,0
9199818.279,26,Female,Employed - at work,No,Employed,Monday,0,120,150,55,420,85,270,0,444,0,0,0,0,0,90,10,0,0,0,0,,66,0
3840512.603,66,Female,Not in labor force,,,Monday,0,-1,0,45,510,475,0,0,0,0,0,0,0,0,65,315,0,0,0,30,,0,0
12684691.64,62,Male,Employed - at work,,Unemployed,Sunday,0,-1,0,40,518,120,0,0,0,0,12,0,0,0,90,345,120,120,0,0,,75,0
5305349.063,61,Male,Not in labor force,,,Sunday,0,-1,0,0,640,200,0,0,0,0,0,0,0,0,10,587,0,0,0,0,,3,0
7324591.3,47,Male,Employed - at work,No,Employed,Sunday,0,-1,0,25,496,135,0,9,0,0,5,0,0,0,95,495,0,0,0,0,,170,10
13458916.01,16,Female,Not in labor force,Yes,,Wednesday,0,-1,0,75,600,5,0,1,0,0,0,0,0,0,130,372,210,0,0,0,,37,10
5276676.909,74,Female,Not in labor force,,,Wednesday,0,-1,0,120,570,0,0,0,0,0,0,0,0,0,20,730,0,0,0,0,,0,0
2215172.328,70,Male,Not in labor force,,,Sunday,0,-1,0,300,600,40,0,0,0,0,30,0,0,0,130,320,0,0,0,0,,20,0
11490070.01,64,Male,Not in labor force,,Unemployed,Tuesday,0,-1,0,5,690,0,0,540,0,0,0,0,0,0,105,100,0,0,0,0,,0,0
3347308.753,69,Male,Employed - at work,,,Thursday,0,-1,0,95,445,25,0,0,460,0,10,0,0,0,85,248,0,0,0,0,,72,0
12692828.6,56,Female,Not in labor force,,,Friday,0,-1,0,40,420,60,30,0,0,0,0,0,0,0,30,660,150,0,0,0,,0,50
7230358.288,28,Female,Employed - at work,No,,Thursday,0,-1,0,90,440,82,0,0,450,0,0,0,0,0,145,120,0,0,0,45,,68,0
4911809.208,55,Female,Employed - at work,,,Thursday,0,-1,0,30,540,15,0,0,240,0,0,30,0,0,60,235,0,0,60,120,,110,0
1653797.701,66,Female,Employed - at work,,,Sunday,0,-1,0,20,460,114,0,0,0,0,0,0,0,0,15,741,0,0,0,90,,0,0
1760787.363,72,Female,Not in labor force,,,Sunday,0,-1,0,30,330,210,0,0,0,0,0,0,0,0,30,840,0,0,0,0,,0,0
4169289.69,54,Male,Employed - at work,,,Tuesday,0,-1,0,60,390,0,0,45,600,0,0,0,0,0,45,30,150,0,0,0,,120,0
5855506.531,66,Male,Employed - at work,,Employed,Sunday,0,-1,0,95,450,30,0,270,0,0,55,0,0,0,5,210,0,195,0,0,,130,0
6679171.962,80,Male,Not in labor force,,,Friday,0,-1,0,75,500,290,0,0,0,0,0,0,0,0,150,350,0,0,0,15,,0,60
2904193.632,66,Male,Not in labor force,,Unemployed,Sunday,0,-1,0,35,515,90,0,0,0,0,0,0,0,0,170,630,0,0,0,0,,0,0
1433662.144,36,Male,Employed - at work,Yes,,Sunday,0,-1,250,30,510,155,45,0,0,0,0,0,0,0,45,435,30,135,0,0,,55,0
6381051.272,47,Female,Employed - at work,No,Employed,Tuesday,0,-1,0,15,585,155,0,0,0,0,0,0,0,0,120,520,0,0,0,45,,0,0
4384446.284,63,Female,Employed - at work,,,Friday,0,-1,0,0,360,0,0,0,820,0,0,0,0,0,120,140,0,0,0,0,,0,0
9174035.363,18,Female,Employed - at work,Yes,,Sunday,0,-1,0,20,550,0,0,0,345,0,0,0,0,0,45,369,0,0,0,90,,21,0
10087906.82,61,Female,Not in labor force,,Employed,Friday,0,-1,0,120,450,61,0,0,0,100,40,0,0,0,134,365,75,0,0,0,,95,0
4274574.628,79,Male,Not in labor force,,Unemployed,Tuesday,0,-1,0,0,870,0,60,0,0,0,0,0,0,0,60,60,0,0,360,0,,30,0
10005764.17,19,Female,Employed - at work,Yes,,Sunday,0,-1,0,50,615,0,0,0,480,90,0,0,0,0,45,130,0,0,0,0,,30,0
3182441.983,38,Female,Employed - at work,No,,Sunday,0,-1,0,50,520,20,0,0,750,0,0,0,0,0,40,0,0,0,0,60,,0,0
15517830.5,75,Male,Employed - at work,,Unemployed,Friday,0,-1,0,50,390,125,0,0,260,0,0,0,0,0,85,470,0,0,0,0,,60,0
2716263.447,54,Female,Employed - at work,,,Sunday,0,-1,0,0,700,90,0,0,240,0,0,0,0,0,125,120,0,0,0,0,,90,75
5168270.982,49,Male,Employed - absent,No,,Thursday,0,-1,0,0,510,180,0,0,0,0,15,0,0,0,75,575,0,0,0,0,,85,0
8381281.656,51,Female,Not in labor force,,Employed,Wednesday,0,-1,340,75,375,145,36,0,0,0,25,0,0,0,42,240,0,0,100,45,,137,220
13118333.28,80,Female,Not in labor force,,Unemployed,Wednesday,0,-1,0,30,600,200,0,0,0,0,10,90,0,0,53,393,0,0,0,0,,64,0
13575415.13,52,Female,Unemployed - looking,,Unemployed,Monday,0,-1,0,90,420,0,0,0,150,0,0,0,0,0,0,705,0,0,0,0,,75,0
6711893.165,33,Female,Employed - at work,No,Employed,Thursday,0,-1,300,40,470,70,230,0,220,0,10,0,0,0,45,225,0,0,0,0,,125,5
5784686.545,33,Male,Employed - at work,No,Employed,Tuesday,0,-1,0,15,525,120,0,0,495,0,0,0,0,0,120,135,0,0,0,0,,30,0
25466379.36,24,Female,Employed - absent,No,Unemployed,Thursday,0,-1,0,0,600,1,0,0,0,0,0,0,0,0,25,814,0,0,0,0,,0,0
13638651.51,48,Male,Employed - at work,No,Unemployed,Tuesday,0,-1,0,30,450,0,0,0,683,0,0,0,0,0,40,223,0,0,0,0,,14,0
10052049.19,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,0,660,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,,30,0
1954915.694,60,Female,Employed - absent,,,Sunday,0,-1,0,50,710,35,0,0,0,0,0,0,0,0,65,580,0,0,0,0,,0,0
